timestamp	clocks.sm	clocks.mem	power.draw	temperature.gpu	clocks_throttle_reasons.active	clocks_throttle_reasons.sw_power_cap	clocks_throttle_reasons.hw_slowdown	clocks_throttle_reasons.sw_thermal_slowdown	utilization.gpu
2026/09/22 07:52:44.520	2775.0	13801.0	600.17	50.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:44.621	2775.0	13801.0	600.03	50.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:44.721	2775.0	13801.0	600.03	50.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:44.821	2775.0	13801.0	600.03	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:44.921	2775.0	13801.0	600.03	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.021	2775.0	13801.0	600.03	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.121	2775.0	13801.0	599.92	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.222	2775.0	13801.0	599.92	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.322	2775.0	13801.0	599.92	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.422	2775.0	13801.0	599.92	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.522	2775.0	13801.0	599.92	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.622	2775.0	13801.0	600.0	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.722	2775.0	13801.0	600.0	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.823	2775.0	13801.0	600.0	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:45.923	2775.0	13801.0	600.0	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.023	2775.0	13801.0	600.0	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.123	2775.0	13801.0	599.91	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.223	2775.0	13801.0	599.91	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.324	2775.0	13801.0	599.91	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:46.424	2775.0	13801.0	599.91	51.0	0x0000000000000004	Active	Not Active	Not Active	100.0
